,Region,Ukrainian Name,Russian Name,Longitude_WGS84,Latitude_WGS84,Freq,Date
215,Одеська,ОДЕСА,Одесса,30.73065,46.46891,276.0,2022-02-24
232,Полтавська,ПОЛТАВА,Полтава,34.53741,49.57546,12.0,2022-02-24
233,Луганська,ПОПАСНА,Попасная,38.36632,48.63029,1.0,2022-02-24
238,Сумська,ПУТИВЛЬ,Путивль,33.86467,51.33379,1.0,2022-02-24
248,Рівненська,РІВНЕ,Ровно,26.25235,50.61916,4.0,2022-02-24
253,Луганська,РУБІЖНЕ,Рубежное,38.36941,49.00469,1.0,2022-02-24
259,Луганська,СВАТОВЕ,Сватово,38.15054,49.40843,8.0,2022-02-24
263,м Севастополь,СЕВАСТОПОЛЬ,Севастополь,33.51482,44.58938,7.0,2022-02-24
267,Крим,СІМФЕРОПОЛЬ,Симферополь,34.11014,44.95829,58.0,2022-02-24
269,Херсонська,СКАДОВСЬК,Скадовск,32.9104,46.1206,3.0,2022-02-24
273,Донецька,СНІЖНЕ,Снежное,38.75152,48.04888,1.0,2022-02-24
279,Луганська,СТАРОБІЛЬСЬК,Старобельск,38.93074,49.2917,1.0,2022-02-24
280,Хмельницька,СТАРОКОСТЯНТИНІВ,Староконстантинов,27.22052,49.76154,5.0,2022-02-24
288,Сумська,СУМИ,Сумы,34.79851,50.90773,55.0,2022-02-24
290,Луганська,ЩАСТЯ,Счастье,39.24351,48.73621,76.0,2022-02-24
295,Тернопільська,ТЕРНОПІЛЬ,Тернополь,25.60244,49.5516,4.0,2022-02-24
300,Вінницька,ТУЛЬЧИН,Тульчин,28.87499,48.67441,5.0,2022-02-24
305,Донецька,ВУГЛЕДАР,Угледар,37.24777,47.77954,2.0,2022-02-24
307,Закарпатська,УЖГОРОД,Ужгород,22.2971,48.6212,14.0,2022-02-24
309,Черкаська,УМАНЬ,Умань,30.19884,48.72454,15.0,2022-02-24
312,Харківська,ХАРКІВ,Харьков,36.22982,49.98934,543.0,2022-02-24
313,Херсонська,ХЕРСОН,Херсон,32.59231,46.65481,157.0,2022-02-24
315,Хмельницька,ХМЕЛЬНИЦЬКИЙ,Хмельницкий,26.97435,49.4165,4.0,2022-02-24
325,Черкаська,ЧЕРКАСИ,Черкассы,32.02223,49.46594,3.0,2022-02-24
326,Чернігівська,ЧЕРНІГІВ,Чернигов,31.29009,51.49807,9.0,2022-02-24
327,Чернівецька,ЧЕРНІВЦІ,Черновцы,25.937,48.29487,3.0,2022-02-24
331,Харківська,ЧУГУЇВ,Чугуев,36.68404,49.84308,47.0,2022-02-24
339,Запорізька,ЕНЕРГОДАР,Энергодар,34.655,47.49922,1.0,2022-02-24
342,Крим,ЯЛТА,Ялта,34.15426,44.49291,1.0,2022-02-24
344,Донецька,ЯСИНУВАТА,Ясиноватая,37.88584,48.11565,4.0,2022-02-24
0,Донецька,АВДІЇВКА,Авдеевка,37.72602,48.15445,1.0,2022-02-23
11,Крим,АРМЯНСЬК,Армянск,33.69335,46.10258,2.0,2022-02-23
77,Донецька,ГОРЛІВКА,Горловка,38.04308,48.3534,3.0,2022-02-23
87,Донецька,ДЕБАЛЬЦЕВЕ,Дебальцево,38.4034,48.3213,2.0,2022-02-23
95,Донецька,ДОНЕЦЬК,Донецк,37.86764,47.96648,87.0,2022-02-23
137,м.Київ,КИЇВ,Киев,30.5595,50.44029,112.0,2022-02-23
151,Івано-Франківська,КОСІВ,Косов,25.1005,48.32079,1.0,2022-02-23
153,Донецька,КРАМАТОРСЬК,Краматорск,37.56603,48.72814,2.0,2022-02-23
169,Луганська,ЛУГАНСЬК,Луганск,39.32041,48.55751,44.0,2022-02-23
172,Львівська,ЛЬВІВ,Львов,24.01783,49.84308,9.0,2022-02-23
175,Донецька,МАКІЇВКА,Макеевка,37.89425,48.0154,3.0,2022-02-23
179,Донецька,МАРІУПОЛЬ,Мариуполь,37.56449,47.10457,11.0,2022-02-23
197,Миколаївська,МИКОЛАЇВ,Николаев,32.04574,46.95883,2.0,2022-02-23
215,Одеська,ОДЕСА,Одесса,30.73065,46.46891,6.0,2022-02-23
233,Луганська,ПОПАСНА,Попасная,38.36632,48.63029,1.0,2022-02-23
263,м Севастополь,СЕВАСТОПОЛЬ,Севастополь,33.51482,44.58938,7.0,2022-02-23
290,Луганська,ЩАСТЯ,Счастье,39.24351,48.73621,2.0,2022-02-23
312,Харківська,ХАРКІВ,Харьков,36.22982,49.98934,18.0,2022-02-23
313,Херсонська,ХЕРСОН,Херсон,32.59231,46.65481,4.0,2022-02-23
326,Чернігівська,ЧЕРНІГІВ,Чернигов,31.29009,51.49807,1.0,2022-02-23
344,Донецька,ЯСИНУВАТА,Ясиноватая,37.88584,48.11565,3.0,2022-02-23
2,Луганська,ОЛЕКСАНДРІВСЬК,Александровск,39.18514,48.5927,4.0,2022-02-22
61,Донецька,ВОЛНОВАХА,Волноваха,37.50234,47.59432,1.0,2022-02-22
77,Донецька,ГОРЛІВКА,Горловка,38.04308,48.3534,15.0,2022-02-22
93,Донецька,ДОКУЧАЄВСЬК,Докучаевск,37.67589,47.78229,1.0,2022-02-22
95,Донецька,ДОНЕЦЬК,Донецк,37.86764,47.96648,106.0,2022-02-22
137,м.Київ,КИЇВ,Киев,30.5595,50.44029,231.0,2022-02-22
153,Донецька,КРАМАТОРСЬК,Краматорск,37.56603,48.72814,3.0,2022-02-22
169,Луганська,ЛУГАНСЬК,Луганск,39.32041,48.55751,23.0,2022-02-22
172,Львівська,ЛЬВІВ,Львов,24.01783,49.84308,17.0,2022-02-22
175,Донецька,МАКІЇВКА,Макеевка,37.89425,48.0154,2.0,2022-02-22
179,Донецька,МАРІУПОЛЬ,Мариуполь,37.56449,47.10457,15.0,2022-02-22
195,Вінницька,НЕМИРІВ,Немиров,28.84289,48.97722,1.0,2022-02-22
202,Донецька,НОВОАЗОВСЬК,Новоазовск,38.08239,47.11367,1.0,2022-02-22
215,Одеська,ОДЕСА,Одесса,30.73065,46.46891,15.0,2022-02-22
233,Луганська,ПОПАСНА,Попасная,38.36632,48.63029,1.0,2022-02-22
263,м Севастополь,СЕВАСТОПОЛЬ,Севастополь,33.51482,44.58938,15.0,2022-02-22
290,Луганська,ЩАСТЯ,Счастье,39.24351,48.73621,2.0,2022-02-22
312,Харківська,ХАРКІВ,Харьков,36.22982,49.98934,11.0,2022-02-22
313,Херсонська,ХЕРСОН,Херсон,32.59231,46.65481,1.0,2022-02-22
342,Крим,ЯЛТА,Ялта,34.15426,44.49291,1.0,2022-02-22
0,Донецька,АВДІЇВКА,Авдеевка,37.72602,48.15445,1.0,2022-02-21
77,Донецька,ГОРЛІВКА,Горловка,38.04308,48.3534,6.0,2022-02-21
93,Донецька,ДОКУЧАЄВСЬК,Докучаевск,37.67589,47.78229,3.0,2022-02-21
95,Донецька,ДОНЕЦЬК,Донецк,37.86764,47.96648,153.0,2022-02-21
137,м.Київ,КИЇВ,Киев,30.5595,50.44029,184.0,2022-02-21
153,Донецька,КРАМАТОРСЬК,Краматорск,37.56603,48.72814,1.0,2022-02-21
166,Луганська,ЛИСИЧАНСЬК,Лисичанск,38.36408,48.91165,1.0,2022-02-21
169,Луганська,ЛУГАНСЬК,Луганск,39.32041,48.55751,69.0,2022-02-21
172,Львівська,ЛЬВІВ,Львов,24.01783,49.84308,10.0,2022-02-21
175,Донецька,МАКІЇВКА,Макеевка,37.89425,48.0154,3.0,2022-02-21
179,Донецька,МАРІУПОЛЬ,Мариуполь,37.56449,47.10457,9.0,2022-02-21
180,Донецька,МАР'ЇНКА,Марьинка,37.50406,47.94176,1.0,2022-02-21
202,Донецька,НОВОАЗОВСЬК,Новоазовск,38.08239,47.11367,9.0,2022-02-21
215,Одеська,ОДЕСА,Одесса,30.73065,46.46891,28.0,2022-02-21
232,Полтавська,ПОЛТАВА,Полтава,34.53741,49.57546,4.0,2022-02-21
263,м Севастополь,СЕВАСТОПОЛЬ,Севастополь,33.51482,44.58938,10.0,2022-02-21
267,Крим,СІМФЕРОПОЛЬ,Симферополь,34.11014,44.95829,1.0,2022-02-21
290,Луганська,ЩАСТЯ,Счастье,39.24351,48.73621,2.0,2022-02-21
312,Харківська,ХАРКІВ,Харьков,36.22982,49.98934,5.0,2022-02-21
313,Херсонська,ХЕРСОН,Херсон,32.59231,46.65481,1.0,2022-02-21
344,Донецька,ЯСИНУВАТА,Ясиноватая,37.88584,48.11565,2.0,2022-02-21
